Episode,MULDER,SCULLY
S1E1,1312,752
S1E2,897,766
S1E3,1042,696
S1E4,1185,807
S1E5,983,655
S1E6,859,537
S1E7,1309,1133
S1E8,910,476
S1E9,610,293
S1E10,981,927
S1E11,802,603
S1E12,618,443
S1E13,841,644
S1E14,907,1034
S1E15,1128,704
S1E16,1098,571
S1E17,950,946
S1E18,717,627
S1E19,1079,672
S1E20,772,563
S1E21,1002,833
S1E22,1046,914
S1E23,857,885
S2E1,905,409
S2E2,954,833
S2E3,553,307
S2E4,1339,556
S2E5,1018,560
S2E6,1133,6
S2E8,560,62
S2E9,1167,1107
S2E10,816,862
S2E11,624,867
S2E12,1279,1219
S2E13,732,467
S2E14,658,1183
S2E15,1055,712
S2E16,1149,702
S2E17,616,851
S2E18,1344,875
S2E19,1078,1397
S2E21,988,665
S2E22,988,837
S2E23,1233,963
S2E24,1051,987
S2E25,813,1026
S3E1,231,743
S3E2,722,462
S3E3,852,1008
S3E4,1189,746
S3E5,1023,646
S3E6,952,813
S3E7,1033,722
S3E8,848,587
S3E9,1182,774
S3E10,1587,1189
S3E11,1116,1212
S3E12,1994,951
S3E13,430,575
S3E14,1225,903
S3E15,856,797
S3E16,697,698
S3E17,528,283
S3E18,947,1401
S3E19,981,890
S3E20,761,769
S3E21,1242,1244
S3E22,1114,1019
S3E23,1705,665
S3E24,906,498
S4E1,619,753
S4E2,1325,989
S4E3,1189,1180
S4E4,1165,1183
S4E5,850,684
S4E6,1061,1040
S4E8,1314,902
S4E9,697,557
S4E10,746,934
S4E11,1025,920
S4E12,696,996
S4E13,932,1144
S4E14,1577,1291
S4E15,1130,1034
S4E16,1318,773
S4E17,1118,939
S4E18,820,1273
S4E19,1251,1009
S4E20,1220,1307
S4E22,1481,1203
S4E23,932,1792
S4E24,598,1026
S5E2,639,1245
S5E3,1365,434
S5E4,1156,823
S5E5,3,1448
S5E6,603,648
S5E7,1039,799
S5E8,1055,663
S5E9,1157,881
S5E10,513,835
S5E11,631,452
S5E12,1641,1240
S5E13,995,579
S5E14,872,1021
S5E16,1255,524
S5E17,911,1243
S5E18,794,871
S5E19,977,597
S6E1,781,651
S6E2,893,892
S6E3,378,692
S6E4,203,474
S6E5,42,560
S6E6,1021,694
S6E7,456,345
S6E8,381,667
S6E9,450,923
S6E10,555,470
S6E11,472,498
S6E12,790,577
S6E13,594,799
S6E14,1494,1506
S6E15,123,168
S6E16,992,753
S6E17,663,916
S6E18,575,651
S6E20,980,274
S6E21,657,609
S6E22,546,1005
